"name","license","city","phone","addr"
"A.P. Stump's","MA12347","Boston",,
"Blue Angel","CA45678","San Francisco",,
"Blue Tattoo","CA45678","San Francisco","415-567-1289","1500 Market St."
"Britannia Arms","MA12346","Boston","345-567-1289",
"Cabana","CA45678","San Francisco",,"1200 California Ave."
"Caravan","IL12345","Chicago",,
"Club 175","CA45678","San Francisco","415-567-1289",
"Coconut Willie's Cocktail Lounge","CA45678","San Francisco","415-567-1289",
"Eulipia","IL12346","Chicago","123-456-7890","1060 West Addison"
"Gecko Grill","IL12348","Chicago",,"1060 West Addison"
"Giza Hookah Lounge","IL12349","Chicago","345-678-9012",
"Hedley Club","NY12345","New York",,"161st St and River Ave"
"Il Fornaio","NY12346","New York",,"161st St and River Ave"
"Seven Bamboo","NY12347","New York",,"161st St and River Ave"
"The B-Hive","MA12348","Boston","345-567-1280",
"The Backbeat","CA45678","San Francisco","415-567-1289",
"The Blank Club","MA12349","Boston","345-567-1281",
"The Shark and Rose","MA12345","Boston",,
"Bosman","RPGDA","Gdansk","3013722","Ogarna 25"
